DatabaseID,DateTimeMeasured,SampleName,pCO2Ref,pCO2Sam,PCellRef,PCellSam,d17O,d18O,d18OError,Dp17O,Dp17OError,mrMismatch,MeasurementPeriod
15561,2023-06-26 23:00:35,lightVsRef,415.9,415.8,41.94,41.938,-0.601,-0.718,0.011,-222.2,3.3,0.1,2023-06-16 to 2023-07-13
15559,2023-06-26 17:09:49,lightVsRef,415.9,416.3,41.918,41.917,-0.602,-0.751,0.015,-205.3,8.1,-0.4,2023-06-16 to 2023-07-13
15493,2023-06-19 15:09:42,lightVsRef,418.2,418.3,41.785,41.787,-0.601,-0.751,0.019,-204.4,7.7,-0.1,2023-06-16 to 2023-07-13
15495,2023-06-19 20:47:47,lightVsRef,417.1,417.1,41.815,41.816,-0.588,-0.708,0.027,-214.0,14.3,0.0,2023-06-16 to 2023-07-13
15507,2023-06-21 08:57:30,lightVsRef,415.8,415.9,41.957,41.957,-0.593,-0.755,0.015,-194.2,5.9,-0.1,2023-06-16 to 2023-07-13
15509,2023-06-21 14:49:51,lightVsRef,416.0,416.3,41.915,41.914,-0.603,-0.724,0.016,-220.7,6.3,-0.3,2023-06-16 to 2023-07-13
15511,2023-06-21 20:40:54,lightVsRef,415.6,416.1,41.93,41.93,-0.6,-0.748,0.015,-205.2,10.7,-0.5,2023-06-16 to 2023-07-13
15523,2023-06-23 06:54:14,lightVsRef,416.1,415.8,41.958,41.961,-0.587,-0.692,0.023,-221.9,12.9,0.3,2023-06-16 to 2023-07-13
15525,2023-06-23 12:54:59,lightVsRef,414.8,414.6,42.038,42.039,-0.612,-0.725,0.008,-229.1,8.4,0.2,2023-06-16 to 2023-07-13
15531,2023-06-23 19:34:07,lightVsRef,414.3,414.2,42.135,42.135,-0.603,-0.717,0.012,-224.6,3.7,0.1,2023-06-16 to 2023-07-13
15535,2023-06-24 01:34:31,lightVsRef,414.2,414.1,42.184,42.182,-0.602,-0.714,0.008,-225.3,6.1,0.1,2023-06-16 to 2023-07-13
15540,2023-06-24 07:34:53,lightVsRef,413.9,413.9,42.255,42.253,-0.592,-0.727,0.014,-208.3,9.1,0.0,2023-06-16 to 2023-07-13
15546,2023-06-24 19:34:35,lightVsRef,414.3,414.3,42.13,42.129,-0.599,-0.713,0.014,-222.6,6.1,0.0,2023-06-16 to 2023-07-13
15548,2023-06-25 01:35:38,lightVsRef,414.0,413.9,42.23,42.228,-0.612,-0.752,0.02,-214.9,6.4,0.1,2023-06-16 to 2023-07-13
15604,2023-06-30 13:53:34,lightVsRef,416.2,416.2,41.977,41.978,-0.595,-0.71,0.019,-220.0,9.8,0.0,2023-06-16 to 2023-07-13
15606,2023-06-30 19:48:53,lightVsRef,416.3,416.1,41.968,41.965,-0.597,-0.711,0.014,-222.2,9.4,0.2,2023-06-16 to 2023-07-13
15608,2023-07-01 01:44:53,lightVsRef,415.9,415.9,42.011,42.01,-0.61,-0.734,0.007,-222.0,2.5,0.0,2023-06-16 to 2023-07-13
15629,2023-07-03 16:39:52,lightVsRef,416.2,416.0,41.986,41.985,-0.619,-0.743,0.012,-226.2,12.8,0.2,2023-06-16 to 2023-07-13
15631,2023-07-03 22:41:59,lightVsRef,416.0,416.0,42.015,42.014,-0.59,-0.703,0.009,-219.0,6.6,0.0,2023-06-16 to 2023-07-13
15633,2023-07-04 04:41:38,lightVsRef,416.1,415.9,42.03,42.029,-0.596,-0.725,0.014,-213.4,6.6,0.2,2023-06-16 to 2023-07-13
15650,2023-07-06 08:49:44,lightVsRef,415.7,415.7,41.962,41.962,-0.585,-0.73,0.021,-199.6,7.2,0.0,2023-06-16 to 2023-07-13
15654,2023-07-06 14:52:36,lightVsRef,415.6,415.4,41.994,41.993,-0.592,-0.745,0.021,-198.3,12.6,0.2,2023-06-16 to 2023-07-13
15660,2023-07-06 20:52:58,lightVsRef,415.1,415.2,42.025,42.024,-0.621,-0.768,0.022,-215.8,8.4,-0.1,2023-06-16 to 2023-07-13
15682,2023-07-09 09:52:43,lightVsRef,414.7,415.1,42.03,42.031,-0.603,-0.733,0.019,-215.7,5.6,-0.4,2023-06-16 to 2023-07-13
15684,2023-07-09 15:53:10,lightVsRef,415.4,415.5,42.044,42.044,-0.613,-0.75,0.036,-217.7,9.8,-0.1,2023-06-16 to 2023-07-13
15686,2023-07-09 21:52:36,lightVsRef,414.8,414.8,42.08,42.079,-0.608,-0.748,0.025,-213.3,4.3,0.0,2023-06-16 to 2023-07-13
15688,2023-07-10 03:54:17,lightVsRef,414.5,414.4,42.158,42.158,-0.604,-0.755,0.026,-205.1,4.8,0.1,2023-06-16 to 2023-07-13
15695,2023-07-10 20:28:07,lightVsRef,413.7,413.6,42.198,42.197,-0.614,-0.756,0.009,-215.2,11.1,0.1,2023-06-16 to 2023-07-13
15697,2023-07-11 02:29:15,lightVsRef,413.8,413.6,42.256,42.255,-0.599,-0.72,0.029,-218.9,6.1,0.2,2023-06-16 to 2023-07-13
15564,2023-06-27 07:42:11,heavyVsRef,415.8,415.2,41.925,41.926,39.673,76.747,0.017,-136.4,2.4,0.6,2023-06-16 to 2023-07-13
15562,2023-06-27 01:58:08,heavyVsRef,416.0,415.3,41.955,41.955,39.67,76.775,0.014,-153.1,4.5,0.7,2023-06-16 to 2023-07-13
15560,2023-06-26 20:05:46,heavyVsRef,415.9,415.2,41.961,41.959,39.661,76.765,0.01,-157.0,2.9,0.7,2023-06-16 to 2023-07-13
15494,2023-06-19 17:55:48,heavyVsRef,417.0,416.8,41.879,41.88,39.677,76.793,0.012,-155.0,7.4,0.2,2023-06-16 to 2023-07-13
