ID,dateTimeMeasured,SampleName,d17O,d17OError,d18O,d18OError,Dp17O,Dp17OError,nSamCycles,nSamPoints,nRefPoints,pCO2Ref,pCO2Ref_error,pCO2Sam,pCO2Sam_error,pCO2Mismatch,pCO2Mismatch_error,PCellRef,PCellRef_error,PCellSam,PCellSam_error,PCellMismatch,PCellMismatch_error,TCellSam,TCellSam_error,TCellRef,TCellRef_error,TCellMismatch,TCellMismatch_error,TIntSam,TIntSam_error,TIntRef,TIntRef_error,TIntMismatch,TIntMismatch_error,measurementPeriod
15493,2023-06-19 15:09:42,lightVsRef,-0.601,0.005,-0.751,0.019,-204.4,7.7,7.0,1741.0,2070.0,418.165,0.34849,418.322,0.56106,0.16029,0.2994,41.7848,0.0013,41.7865,0.00095,0.0016,0.00096,24.6117,0.00248,24.6117,0.00248,-5e-05,0.00049,32.9946,0.04061,32.984,0.03227,0.0118,0.03452,2023-06-16 to 2023-07-13
15495,2023-06-19 20:47:47,lightVsRef,-0.588,0.016,-0.708,0.026,-214.0,14.3,10.0,2674.0,2894.0,417.096,0.40153,417.119,0.56372,0.01993,0.17145,41.8148,0.00127,41.8158,0.00085,0.00095,0.00112,24.548,0.00439,24.548,0.00439,6e-05,0.00034,32.5998,0.03176,32.6037,0.02886,-0.00326,0.01029,2023-06-16 to 2023-07-13
15507,2023-06-21 08:57:30,lightVsRef,-0.594,0.005,-0.741,0.019,-203.3,10.5,10.0,2909.0,3143.0,415.769,0.44186,415.891,0.65321,0.11837,0.2368,41.9566,0.00094,41.9567,0.00207,3e-05,0.00205,24.5357,0.0028,24.5357,0.0028,8e-05,0.00023,32.5614,0.02741,32.5627,0.02435,0.00026,0.01383,2023-06-16 to 2023-07-13
15509,2023-06-21 14:49:51,lightVsRef,-0.603,0.006,-0.724,0.016,-220.7,6.2,10.0,2658.0,3156.0,415.99,0.42313,416.32,0.58731,0.33217,0.18812,41.9146,0.00146,41.9139,0.00111,-0.00064,0.00137,24.5515,0.00352,24.5515,0.00352,0.00022,0.00035,32.6291,0.02095,32.634,0.02714,-0.00551,0.01539,2023-06-16 to 2023-07-13
15511,2023-06-21 20:40:54,lightVsRef,-0.6,0.006,-0.748,0.015,-205.2,10.7,10.0,2638.0,3098.0,415.621,0.49089,416.082,0.60145,0.47054,0.24908,41.9297,0.00085,41.9297,0.00152,3e-05,0.00164,24.5591,0.00265,24.5591,0.00265,4e-05,0.00035,32.6429,0.02074,32.6515,0.02139,-0.00853,0.01279,2023-06-16 to 2023-07-13
15525,2023-06-23 12:54:59,lightVsRef,-0.612,0.008,-0.725,0.008,-229.1,8.4,10.0,2914.0,3148.0,414.758,0.45058,414.613,0.6482,-0.14488,0.14538,42.0376,0.00169,42.0386,0.00196,0.00093,0.00203,24.5477,0.00261,24.5477,0.00261,-0.00017,0.00033,32.5816,0.02255,32.5883,0.02316,-0.00668,0.01422,2023-06-16 to 2023-07-13
15531,2023-06-23 19:34:07,lightVsRef,-0.603,0.006,-0.717,0.012,-224.6,3.7,10.0,2918.0,3123.0,414.321,0.43972,414.169,0.63632,-0.15951,0.20994,42.1347,0.00135,42.1351,0.00206,0.00043,0.002,24.5462,0.00263,24.5462,0.00263,-5e-05,0.00038,32.5682,0.02291,32.5715,0.02019,-0.0037,0.00933,2023-06-16 to 2023-07-13
15535,2023-06-24 01:34:31,lightVsRef,-0.602,0.007,-0.714,0.008,-225.3,6.1,10.0,2900.0,3102.0,414.196,0.47755,414.116,0.71409,-0.09526,0.42652,42.1836,0.00118,42.1822,0.00102,-0.00137,0.00105,24.5467,0.00266,24.5467,0.00266,-0.00019,0.00044,32.5869,0.02051,32.5863,0.01769,0.00144,0.01132,2023-06-16 to 2023-07-13
15540,2023-06-24 07:34:53,lightVsRef,-0.592,0.011,-0.727,0.014,-208.3,9.1,10.0,2873.0,3168.0,413.899,0.65632,413.934,0.7937,0.04456,0.60211,42.2552,0.00144,42.2527,0.00166,-0.00249,0.00161,24.5507,0.00282,24.5507,0.00282,6e-05,0.00035,32.6023,0.02412,32.6052,0.02272,-0.00294,0.01477,2023-06-16 to 2023-07-13
15546,2023-06-24 19:34:35,lightVsRef,-0.599,0.008,-0.713,0.014,-222.6,6.1,10.0,2915.0,3156.0,414.3,0.48436,414.313,0.65687,0.01804,0.17961,42.1304,0.00192,42.1292,0.002,-0.00143,0.00173,24.5545,0.0028,24.5545,0.0028,9e-05,0.0003,32.5968,0.02669,32.5966,0.02928,-0.00009,0.01133,2023-06-16 to 2023-07-13
